placeholder,reviewer_items,needed_value_or_evidence,how_to_compute_or_close,target_files_or_tables,status
final-QE-1-4-barrier,A1,"Converged or explicitly accepted DFT NEB barrier for in-gap path 1-4","Continue restartable QE NEB; parse final neb.out with scripts/migrationbench/parse_qe_neb_output.py; regenerate dft_neb_barriers table","tables/dft_neb_barriers.tex; Fig. 3d; response A1",pending_cluster
SI-FigS3-audit,A1,"Endpoint IDs/path label, image count, checkpoint hash, seed, optimizer, spring constant, final fmax, source trajectory/log for SI Fig. S3","Locate raw SI Fig. S3 self-consistent MACE NEB source files or rerun through unified MigrationBench pipeline","data_processed/figS3_self_consistent_neb_audit.csv; SI caption; response A1",pending_metadata_audit
DFT-on-MLFF-path,A1,"DFT validation of the Foundation self-consistent MLFF path","Run DFT single-points on Foundation-relaxed images or QE NEB initialized from those images; compute max(E_DFT)-E0","data_processed/dft_on_foundation_self_neb_path.csv; optional SI table",optional_pending_cluster
SOAP-RMSD-overlap-audit,A2,"Minimum SOAP distance and nearest-pair RMSD between in-gap NEB images and FT-600K training frames","Compute SOAP descriptors for NEB images and training frames; report min per image; spot-check closest pairs with Cartesian RMSD","SI train/test overlap table; response A2",pending_cluster_or_local
multiseed-kinetic-barrier-errors,A3,"Mean +/- std barrier errors for Scratch and FT-600K over seeds 123,234,345","Retrain on grouped splits; evaluate fixed-geometry barrier errors on in-gap and deep-penetration paths","Table S1; Sec. 3.2; response A3",pending_cluster
second-dopant-cross-validation,A4,"Optional cross-system/dopant validation barrier result","Run one cheap in-gap path for another dopant if included; otherwise omit optional sentence","Intro/conclusion optional sentence; response A4",optional_pending
scratch-5pct-control-rmse-and-barriers,A5,"Scratch-5% RMSE and migration-barrier errors over seeds","Train random-init model on same 5% data as FT-600K; evaluate RMSE and barriers","Table S1; Sec. 3.2; response A5",pending_cluster
MACE-CrCr-perturbation-test,A6,"Direct MACE response to constrained Cr-Cr perturbation and agreement with SHAP ranking","Perturb held-out structures along dominant Cr-Cr coordinate; evaluate MACE energies/forces; compare ranking with SHAP surrogate","Sec. 3.5; Fig. 6 caption; response A6",pending_cluster_or_optional
final-code-release-hash-for-zero-force-fix,C8,"Commit/hash or archive evidence that zero-force exporter fix is released","Patch exporters; run grep/assertion that fake force export is impossible; record release hash","Code availability; response C8",pending_release
corrected-FT600K-MD-transport,C9,"Transport coefficients for FT-600K after corrected MD protocol","Rerun FT-600K with 100000 steps and interval 200; block-average D and kappa","tables/md_transport_metrics.tex; transport figure; response C9",pending_cluster
grouped-split-retrained-rmse,C10,"Energy/force RMSE after grouped train/valid/test split","Retrain/evaluate models using group-aware split; report mean +/- std where applicable","Table S1; Methods; response C10",pending_cluster
final-SHAP-code-release-hash,C13,"Release evidence for working SHAP pipeline","Port SHAP scripts into repository; remove/replace stubs; record commit/archive hash","Code availability; response C13",pending_release
final-empty-stub-audit,C13,"Evidence that empty advertised package/script stubs are removed or populated","Find 0-byte files; remove or implement; save file list before/after","Code availability; response C13",pending_release
