claim_id,manuscript_file,location_hint,claim_token,display_value,source_artifact,source_detail,status,notes
SHAP-CV-FT600K,Revision1/sn-article-final.tex,SHAP interpretability paragraph,0.9819,5-fold CV R2 for FT-600K,Revision1/data_processed/shap_surrogate_r2_revised.csv,row model=FT - 600K column r2_5fold_cv,AUDITED,Generated by Revision1/scripts/shap_fig6_regenerate.py
SHAP-CV-FTMULTIT,Revision1/sn-article-final.tex,SHAP interpretability paragraph,0.8756,5-fold CV R2 for FT-MultiT,Revision1/data_processed/shap_surrogate_r2_revised.csv,row model=FT - Multi-T column r2_5fold_cv,AUDITED,Generated by Revision1/scripts/shap_fig6_regenerate.py
SHAP-CV-SCRATCH,Revision1/sn-article-final.tex,SHAP interpretability paragraph,0.9730,5-fold CV R2 for Scratch,Revision1/data_processed/shap_surrogate_r2_revised.csv,row model=Scratch column r2_5fold_cv,AUDITED,Generated by Revision1/scripts/shap_fig6_regenerate.py
SHAP-TOP-FTMULTIT,Revision1/sn-article-final.tex,Fig. 6 text and caption,Cr-Sb_n43_l0,FT-MultiT top corrected SOAP feature,Revision1/data_processed/shap_top_features_revised.csv,row model=FT - Multi-T rank=1,AUDITED,Corrected frame alignment and dscribe feature labels
SHAP-FIG6,Revision1/sn-article-final.tex,Figure fig:shap,fig6_shap_revised.pdf,Revised SHAP figure,Revision1/figures/fig6_shap_revised.pdf,generated by Revision1/scripts/shap_fig6_regenerate.py,AUDITED,Replaces Fig/NeurIPS2025-AI4MAT-SHAP_main2.pdf
DFT-NEB-1-4,Revision1/sn-article-final.tex,Local Migration Events,0.336,Current DFT candidate barrier for path 1-4,Revision1/data_processed/dft_neb_barriers.csv,row path=1-4 column barrier_eV,CANDIDATE,Unconverged; retained with explicit caveat
FOUNDATION-FIXEDPATH-ERR,Revision1/sn-article-final.tex,Local Migration Events,0.688,Foundation fixed-path signed error vs current 1-4 candidate,Revision1/data_processed/cluster/neb_benchmark/unified_fixed_geometry_barriers_audit.csv,Foundation row minus DFT 1-4 candidate,AUDITED-CANDIDATE,Depends on current 0.336050 eV candidate reference
LATENT-ORIG-EUC,Revision1/sn-article-final.tex,Representation Learning Analysis,0.333,Original 6191-d Euclidean silhouette score,Revision1/data_processed/latent_silhouette_all_spaces.csv,row space=original metric=euclidean column overall,AUDITED,Generated by Revision1/scripts/latent_robustness.py
LATENT-ZSCORE,Revision1/sn-article-final.tex,Representation Learning Analysis,-0.019,Z-scored original-feature Euclidean silhouette score,Revision1/data_processed/latent_silhouette_all_spaces.csv,row space=original_zscore metric=euclidean column overall,AUDITED,Generated by Revision1/scripts/latent_robustness.py
LATENT-TSNE,Revision1/sn-article-final.tex,Representation Learning Analysis,0.397,Mean t-SNE projected silhouette across settings,Revision1/data_processed/latent_embedding_sensitivity.csv,mean over tsne settings,AUDITED,Shown in Revision1/figures/figS_latent_robustness.pdf
LATENT-PHATE,Revision1/sn-article-final.tex,Representation Learning Analysis,0.473,PHATE projected silhouette score,Revision1/data_processed/latent_embedding_sensitivity.csv,phate rows/Audit figure summary,AUDITED,Shown in Revision1/figures/figS_latent_robustness.pdf
MD-D-FTMULTIT,Revision1/sn-article-SI.tex,Transport Property Analysis,4.8,FT-MultiT block-averaged diffusion coefficient mantissa,Revision1/data_processed/md_transport_metrics.csv,row model=FT-MultiT column D_block_mean_cm2_s,AUDITED,Displayed as (4.8 +/- 4.8) x 10^-8 in table
MD-KAPPA-FTMULTIT,Revision1/sn-article-SI.tex,Transport Property Analysis,2.0,FT-MultiT thermal conductivity mantissa,Revision1/data_processed/md_transport_metrics.csv,row model=FT-MultiT column kappa_mean_W_mK,AUDITED,Displayed as (2.0 +/- 1.7) x 10^-2 in table
NEB-SELF-FOUNDATION,Revision1/sn-article-SI.tex,NEB Benchmark for Cr Migration,0.41,Foundation self-consistent MLFF-NEB model-reported barrier,Fig/NeurIPS2025-AI4MAT-SI2.pdf,caption/source figure text,AUDITED-LEGACY,Observable differs from fixed-path DFT scoring
